address,beds,baths,sqft,lotAreaValue,log_price,Bathroom Information_# of Full Baths,Bathroom Information_# of Bathroom Fixtures,Heating & Cooling_Heating Type,Fireplace Information_# of Fireplaces,Fireplace Information_Fireplace Type,Exterior Information_Physical Condition,Exterior Information_Foundation Type,Exterior Information_Construction Type,Exterior Information_Exterior Wall,Exterior Information_Building Type,Property Information_Subdivision Name,Property Information_Living Sq. Ft,Property Information_Building Sq. Ft,Property Information_# of Stories,Property Information_Stories Type,Property Information_Legal Description,Parking & Garage Information_Parking Type,Parking & Garage Information_Garage/Parking Sq. Ft,Parking & Garage Information_Garage / Carport Type,Lot Information_# of Buildings,Lot Information_Land Sq. Ft,Lot Information_Legal Lot Number,Lot Information_School Tax District,Lot Information_Municipality Name,Lot Information_Acres,Lot Information_State Use Description,Assessor Information_Assessment Year,Assessor Information_Tax District County,Basement Information_Basement Type,Heating & Cooling_Heating Fuel Type,Room Information_# of Rooms,Exterior Information_Building Style Type,Property Information_Ground Floor Sq. Ft,Lot Information_Legal Block Number,Lot Information_Depth Footage,Lot Information_Front Footage,Lot Information_County Use Description,Utility Information_Electricity / Wiring Type,Basement Information_Basement Sq. Ft,Bathroom Information_# of 1/2 Baths,Heating & Cooling_Air Conditioning Type,Utility Information_Sewer Type,Utility Information_Water Service Type,Basement Information_Basement Finish,Exterior Information_Building Improvement Type,Parking & Garage Information_# of Parking Spaces,Lot Information_Zoning Code,Exterior Information_Roof Covering Type,Exterior Information_Roof Shape Type,Pool Information_Pool Type
"6700 State Route 48, Loveland, OH 45140",3.0,2.0,1464.0,1.13,12.644327576461329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1025 Bayhill Ln, Loveland, OH 45140",4.0,4.0,3462.0,0.4629999999999999,13.102160670086809,3,13,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,BAYHILL AT THE OASIS,"3,462","3,462",2,,BAYHILL AT THE OASIS LOT 30,Frame Garage,630,Frame,1,"20,168",30,,MIAMI TWP,0.463,SINGLE FAMILY,2022,,Full,,11,Colonial,"1,124",,,,,,"1,124",1,Central,Public,Public,Finished,,,,,,
"6456 Wardwood Ct, Loveland, OH 45140",4.0,3.0,2302.0,0.75,12.798017320580957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"730 Oskamp Dr, Loveland, OH 45140",3.0,1.0,1134.0,0.4699954086317722,12.100712129872347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3051 Abby Way, Loveland, OH 45140",3.0,2.0,1202.0,0.13,12.240474072247506,2,8,Central,,,Average,,,Aluminum/Vinyl,Residential,CAMERON CROSSING SEC 2,"1,202","1,202",1,,CAMERON CROSSING SECTION 2 LOT 122,Frame Garage,400,Frame,1,"5,576",122,,GOSHEN TWP,0.128,SINGLE FAMILY,2022,,,,6,Ranch,"1,193",,,,,,,,Central,Public,Public,,,,,,,
"5737 Clemens Dr, Loveland, OH 45140",3.0,3.0,1768.0,0.11000000000000001,12.409013489526863,2,10,Central,,,Average,,,Aluminum/Vinyl,,WOODLAND STREAMS SEC 2,"1,768","1,768",2,,WOODLAND STREAMS SECTION 2 LOT 147,Frame Garage,360,Frame,1,"4,800",147,,GOSHEN TWP,0.1102,SINGLE FAMILY,2022,,,,7,Colonial,704,,,,,,,1,Central,Public,Public,,,,,,,
"9773 Farmstead Dr, Loveland, OH 45140",6.0,5.0,4801.0,0.531,13.573438996764546,3,,,1,,Average,,Brick,Brick,,STONEBRIDGEFARMS SUB,"4,801","6,272",2,2,STONEBRIDGE WAY-FARMSTEAD DR 131.72 X 185.87 IRR LOT 73 STONEBRIDGEFARMS SUB PT 2 BLK A,Attached Brick Garage,621,Attached Brick,1,"23,130",73,,SYMMES TOWNSHIP,0.531,SINGLE FAMILY,2022,,Full,Gas,14,Conventional,"1,939",A,185.87,131.72,RESID-SINGLE FAMILY,Connected,"1,939",1,Central,,,Finished,,3,A,,,
"6525 Cedar Ridge Dr, Loveland, OH 45140",3.0,2.0,2160.0,0.459,12.765688433465597,2,8,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,PAXTON WOODS SEC 4,"2,160","2,160",1,,PAXTON WOODS IV LOT 80,Masonry/Brick Garage,440,Masonry/Brick,1,"19,994",80,,MIAMI TWP,0.459,SINGLE FAMILY,2022,,Partial,Gas,7,Ranch,"2,160",,,,,Available,,,Central,Public,Public,,,,,,,
"6273 Councilridge Ct, Loveland, OH 45140",4.0,2.5,2731.0,0.7599862258953168,13.091904169919621,2,10,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,INDIAN MEADOWS C,"3,581","3,847",2,,INDIAN MEADOWS C LOT 80,Masonry/Brick Garage,441,Masonry/Brick,1,"33,106",80,,MIAMI TWP,0.76,SINGLE FAMILY,2022,,Full,Gas,9,Colonial,"1,069",,,,,Available,"1,116",1,Central,Public,Public,Finished,,,,,,
"3 Rose Lane Farm, Loveland, OH 45140",4.0,4.0,2536.0,3.45,13.661776458022231,3,13,Central,1,Prefab,Average,,,Brick,Residential,ROBERT TODDS MILITARY 1017,"3,136","3,136",1,,,Masonry/Brick Garage,840,Masonry/Brick,1,"150,282",36,,MIAMI TWP,3.45,SINGLE FAMILY,2022,,Full,,6,Ranch,"2,536",,,,,,600,1,Central,Public,Public,Finished,,,,,,
"6162 Woodville Dr, Loveland, OH 45140",5.0,3.0,2280.0,0.23500000000000001,12.834681304952548,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,WOODLANDS RESERVE SEC 1,"2,280","2,280",2,,WOODLANDS RESERVE SECTION 1 BLOCK B LOT 18,Frame Garage,400,Frame,1,"10,241",18,,GOSHEN TWP,0.2351,SINGLE FAMILY,2022,,Full,,8,Colonial,940,B,,,,,,1,Central,Public,Public,,,,,,,
"2641 Daisy Rd, Loveland, OH 45140",2.0,2.0,1512.0,0.2345959595959596,12.48559653028049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"710 Glencrest Ln, Loveland, OH 45140",4.0,2.5,1974.0,0.2759871441689623,13.017002861746503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"834 Veralois Ln, Loveland, OH 45140",3.0,2.0,1320.0,0.4699954086317722,12.216022976383341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1719 Wilmington Dr, Loveland, OH 45140",4.0,3.0,1974.0,0.2829889807162534,12.706847933442663,2,,,1,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,HUBERS,"1,974","3,200",2,2,WILMINGTON DR 65.44 X 159.98 IRR - LOT 125 HERBERT HUBER PLAT 45F,Attached Brick Garage,420,Attached Brick,1,"12,327",125,,LOVELAND CITY,0.283,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,960,,159.98,65.44,RESID-SINGLE FAMILY,Connected,806,1,Central,,,,,2,,,,
"167 Shoemaker Dr, Loveland, OH 45140",4.0,3.0,1930.0,0.164,12.66349749256905,2,,,1,,Average,,Brick/Frame,Frame/Masonry,,CLAIBORNE SUB,"1,930","3,306",2,2,SHOEMAKER DR 63.46 X 110.48 FT IR LOT 211 CLAIBORNE SUB PH 2 BL C,Attached Frame Garage,420,Attached Frame,1,"7,144",211,,LOVELAND CITY,0.164,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,956,C,110.48,63.46,RESID-SINGLE FAMILY,Connected,956,1,Central,,,,,2,,,,
"829 Wards Corner Rd, Loveland, OH 45140",3.0,1.5,1.0,0.7,12.542544882151386,1,5,Central,1,Wood Stove,Average,,,Brick,Residential,COLONEL PAXTON SUB,"1,560","1,560",1,,,Masonry/Brick Garage,384,Masonry/Brick,1,"30,492",1,,MIAMI TWP,0.7,SINGLE FAMILY,2022,,Full,,6,Ranch,"1,560",,,,,Available,,,Central,Public,Public,,,,,,,
"595 Doe Run Ct, Loveland, OH 45140",5.0,4.5,3184.0,0.4589990817263544,13.226723392728571,4,16,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,THE ESTATES,"3,984","4,112",2,,THE ESTATES @ MIAMI TRAILS SECTION II LOT 25,Masonry/Brick Garage,630,Masonry/Brick,1,"19,994",25,,MIAMI TWP,0.459,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,339",,,,,,928,1,Central,Public,Public,Finished,,,,,,
"1562 Georgetown Rd, Loveland, OH 45140",4.0,2.5,2922.0,0.4799816345270891,13.151922179645874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6989 Greenstone Trce, Loveland, OH 45140",3.0,2.0,1687.0,0.4589990817263544,12.768541502448002,2,8,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,OBANNON CREEK,"1,687","1,687",1,,OBANNON CREEK BLOCK D LOT 119,Frame Garage,441,Frame,1,"19,994",119,,GOSHEN TWP,0.459,SINGLE FAMILY,2022,,Full,,6,Ranch,"1,665",D,,,,,,,Central,Public,Public,,,,,,,
"148 Bares Creek Ct, Loveland, OH 45140",4.0,3.5,2823.0,1.067998163452709,13.42984807715229,3,13,Central,1,Wood Stove,Average,,,Brick,Residential,BLUFF AT BARES CREEK,"3,823","5,274",2,,BLUFF AT BARES CREEK LOT 9,Masonry/Brick Garage,428,Masonry/Brick,1,"46,535",9,,LOVELAND CITY,1.0683,SINGLE FAMILY,2022,,Full,,10,Colonial,647,,,,,,"2,451",1,Central,Public,Public,Finished,,,,,,
"6162 Century Farm Dr, Loveland, OH 45140",4.0,2.5,2647.0,0.4379935720844812,13.169246963303179,2,10,Central,1,Prefab,Average,,,,Residential,WILLOW BROOK FARMS SEC 1,"2,647","2,647",2,,WILLOW BROOK FARMS SECTION 1 LOT 105,Frame Garage,648,Frame,1,"19,079",105,,MIAMI TWP,0.438,SINGLE FAMILY,2022,,Full,Wood,8,,"1,229",,,,,,,1,Central,,,,,,,,,
"6557 Pleasant Valley Ct, Loveland, OH 45140",4.0,2.5,2882.0,0.804981634527089,13.017002861746503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"838 Veralois Ln, Loveland, OH 45140",3.0,1.0,2004.0,0.4549999999999999,12.26434155365415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5638 Miss Royal Pass Dr, Loveland, OH 45140",5.0,5.0,4342.0,0.436,13.189274082686955,3,13,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,MITCHELL FARM SEC 03,"4,318","5,072",2,,MITCHELL FARM SECTION 3 LOT 113,Frame Garage,714,Frame,1,"18,992",113,,MIAMI TWP,0.436,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,312",,,,,,"1,460",1,Central,Public,Public,Finished,,,,,,
"6318 Ashford Dr, Loveland, OH 45140",3.0,3.0,2181.0,0.22899999999999998,12.86099861326992,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,ASHTON WOODS SEC 3,"2,181","2,965",2,,ASHTON WOODS SECTION 3 BLOCK B LOT 189,Frame Garage,420,Frame,1,"10,010",189,,MIAMI TWP,0.2298,SINGLE FAMILY,2022,,Full,,7,Colonial,519,B,,,,,784,1,Central,Public,Public,,,,,,,
"9877 Fields Ertel Rd, Loveland, OH 45140",3.0,2.0,1690.0,1.9379935720844808,12.266697267346608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"110 Pfarr Ln, Loveland, OH 45140",2.0,2.5,2020.0,1.7699954086317722,12.721885810807203,,2,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,LOVELAND CITY,"2,020","2,020",2,,LOVELAND CITY LAND,,,,1,"77,101",,,LOVELAND CITY,1.77,SINGLE FAMILY,2022,,Partial,Gas,8,Old,800,,,,,Available,,,Central,Public,Public,,,,,,,
"6066 Marsh Cir, Loveland, OH 45140",3.0,2.5,1672.0,0.1099862258953168,12.423198124518821,2,10,Central,,,Average,,,Aluminum/Vinyl,,WOODLAND STREAMS SEC 2,"1,672","1,672",2,,WOODLAND STREAMS SECTION 2 LOT 198,Frame Garage,360,Frame,1,"4,800",198,,GOSHEN TWP,0.1102,SINGLE FAMILY,2022,,,,7,Colonial,608,,,,,,,1,Central,Public,Public,,,,,,,
"9456 Kemper Grove Ln, Loveland, OH 45140",3.0,3.0,1908.0,3.8,13.353475098367715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"225 Thorobred Rd, Loveland, OH 45140",4.0,3.0,2020.0,0.1849862258953168,12.765688433465597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"343 E Loveland Ave, Loveland, OH 45140",3.0,2.0,1108.0,0.24097796143250688,12.043553716032399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6710 Branch Hill Guinea Pike, Loveland, OH 45140",4.0,3.5,2699.0,2.0,13.541073712262515,3,13,Central,2,Prefab,Average,,,Brick,Residential,,"4,549","4,837",1,,,Masonry/Brick Garage,772,Masonry/Brick,1,"87,120",,,MIAMI TWP,2,SINGLE FAMILY,2022,,Full,,8,Modern,"2,411",,,,,,"2,138",1,Central,,,Finished,,,,,,
"343 E Loveland Ave, Loveland, OH 45140",3.0,1.0,1232.0,0.14699265381083562,12.043553716032399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10441 Brentmoor Dr, Loveland, OH 45140",4.0,4.0,3360.0,0.9959825528007348,13.365623232303363,2,,,1,,Average,,Brick,Brick,,RIVER OAKS SUB,"3,360","6,116",2,2,BRENTMOOR DR 187.55 X 347.89 IRR LOT 62 RIVER OAKS SUB,Attached Brick Garage,682,Attached Brick,1,"43,386",62,,SYMMES TOWNSHIP,0.996,SINGLE FAMILY,2022,,Full,Electric,8,Conventional,"2,074",,347.89,187.55,RESID-SINGLE FAMILY,Connected,"2,074",1,Central,,,,,3,B,,,
"9341 Davis Rd, Loveland, OH 45140",2.0,1.0,720.0,0.2295684113865932,12.206072645530174,1,5,Forced Air,,,Fair,Concrete Block,Frame,Aluminum/Vinyl,Single Family,LOVELAND PARK,720,720,1,1,LOVELAND PARK #5129-5133,,,,1,"10,000",5129,LOVELAND CITY,DEERFIELD TWP,0.2296,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,100,100,,,,,,,,Finished,,,,,,
"2414 Cosmos Dr, Loveland, OH 45140",3.0,2.0,1392.0,0.2799816345270891,12.363076394339839,2,8,Heat Pump,,,Average,Concrete,Frame,Aluminum/Vinyl,Single Family,LOVELAND PARK,"1,392","1,792",1,1,LOVELAND PARK #6835-6840,Attached Garage,400,Attached,1,"12,045",6835,LOVELAND CITY,DEERFIELD TWP,0.28,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,1,,,,Finished,,,,,,
"1208 Neale Ln, Loveland, OH 45140",3.0,2.0,1758.0,0.9599862258953168,12.779873068457553,2,8,Central,1,Wood Stove,Average,,,Brick,Residential,OBANNON ESTATES,"1,758","1,758",1,,O BANNON ESTATES LOT 5,Masonry/Brick Garage,"1,200",Masonry/Brick,1,"41,818",5,,MIAMI TWP,0.96,SINGLE FAMILY,2022,,Partial,Solar,6,Ranch,"1,758",,,,,Available,,,Central,Septic,Public,,,,,,,
"2100 Wood Brook Ct, Loveland, OH 45140",3.0,2.0,1378.0,0.11000000000000001,12.314927050442256,1,7,Central,,,Average,,,Aluminum/Vinyl,Residential,CAMERON CROSSING SEC 1,"1,378","1,378",2,,CAMERON CROSSING SECTION 1 LOT 39,Frame Garage,440,Frame,1,"4,792",39,,GOSHEN TWP,0.11,SINGLE FAMILY,2022,,,,6,Conventional,364,,,,,,,1,Central,Public,Public,,,,,,,
"1074 Oasis Pointe Dr, Loveland, OH 45140",5.0,4.5,4955.0,0.95,13.805359206907898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1405 Blackstone Pl, Loveland, OH 45140",5.0,5.0,5172.0,0.7549816345270891,13.88036153028389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5742 Clemens Dr, Loveland, OH 45140",3.0,2.5,1720.0,0.173989898989899,12.429216196844383,2,10,Central,,,Average,,,Aluminum/Vinyl,,WOODLAND STREAMS SEC 2,"1,720","1,720",2,,WOODLAND STREAMS SECTION 2 LOT 126,Frame Garage,400,Frame,1,"7,579",126,,GOSHEN TWP,0.174,SINGLE FAMILY,2022,,,,7,Colonial,740,,,,,,,1,Central,Public,Public,,,,,,,
"3742 Townsley Dr, Loveland, OH 45140",3.0,1.0,1258.0,0.5564738292011019,12.230765258120545,1,5,Forced Air,,,Good,Concrete Block,Brick,Masonry,Single Family,MYRTLE VILLAGE,"1,258","1,538",1,1,MYRTLE VILLAGE LOT# 31,Attached Garage,280,Attached,1,"24,240",31,LOVELAND CITY,DEERFIELD TWP,0.5565,SINGLE FAMILY DWELLING,2022,KINGS LSD,,,,,,,202,120,,,,,,,,,,,,,,
"3169 Shadow Ridge Dr, Loveland, OH 45140",2.0,2.0,1364.0,23760.0,12.632320292820866,1,7,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Wood Siding,Single Family,PAULS POINTE 1,"1,364","1,804",1.5,1  1/2,PAUL'S POINTE 1 LOT# 14,Attached Garage,440,Attached,1,"23,760",14,LOVELAND CITY,DEERFIELD TWP,0.55,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,1,,,,Finished,,,,,,
"6850 Obannon Blf, Loveland, OH 45140",4.0,2.5,2492.0,0.5019972451790634,13.190022025878143,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,FAIRWAYS AT OBANNON CREEK SEC 1 BL A,"2,492","2,612",2,,FAIRWAYS AT OBANNON CREEK LOT 128,Masonry/Brick Garage,609,Masonry/Brick,1,"21,867",128,,GOSHEN TWP,0.502,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,125",,,,,Available,120,1,Central,Public,Public,,,,,,,
"6700 Sandy Shores Dr, Loveland, OH 45140",4.0,5.0,3648.0,0.676,13.64709190633931,2,10,Central,1,Prefab,Average,,,Brick,Residential,EAGLES POINTE AT THE OASIS,"3,648","4,260",2,,EAGLES POINTE AT THE OASIS SECTION 2 LOT 72,Masonry/Brick Garage,792,Masonry/Brick,1,"29,447",72,,MIAMI TWP,0.676,SINGLE FAMILY,2022,,Full,,10,Colonial,"1,509",,,,,,612,1,Central,Public,Public,,,,,,,
"3705 Clydesdale Cir, Loveland, OH 45140",2.0,2.0,1385.0,0.0929981634527089,12.230765258120545,2,8,Central,,,Average,,,Aluminum/Vinyl,Residential,VILLAGES OF BELMONT SEC 1A PH 1,"1,385","1,385",1,,VILLAGES OF BELMONT SECTION 1A PHASE 1 (REPLAT) LOT 3703 SEE 112203A316T FOR TIF,Frame Garage,420,Frame,1,"4,069",3703,,GOSHEN TWP,0.0934,RESID MFG HOME LIKE REAL PLAT,2022,,,,7,Condominium,"1,385",,,,,,,,Central,,,,,,,,,
"11727 Retview Ln, Loveland, OH 45140",4.0,2.5,3338.0,0.525,13.208541073645382,2,,,2,2 Openings,Average,,Brick,Frame/Masonry,,RETVIEW ESTATE,"3,338","5,518",2,2,RETVIEW LANE 23.75 X 221.98 FT IRR LOT7 RETVIEW ESTATES,Attached Brick Garage,504,Attached Brick,1,"22,869",7,,SYMMES TOWNSHIP,0.525,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,676",,221.98,23.75,RESID-SINGLE FAMILY,Connected,"1,676",1,Central,,,,,2,A,,,
"852 Oak Canyon Dr, Loveland, OH 45140",4.0,4.0,2418.0,0.7119834710743802,12.691580461311874,2,,,1,,Average,Concrete Block,Brick,Brick,,PHEASANT HILLS SUB,"2,418","4,194",2,2,OAKCANYON DR 100 X 262.77 IRR LOT 15 PHEASANT HILLS SUB BLK C,Attached Brick Garage,483,Attached Brick,1,"31,015",15,,LOVELAND CITY,0.712,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"1,293",C,262.77,100,RESID-SINGLE FAMILY,Connected,"1,293",1,Central,,,,,2,,,,
"191 Lexington Dr, Loveland, OH 45140",4.0,4.0,4200.0,0.3399908172635445,13.244581010128577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2464 Aster Rd, Loveland, OH 45140",3.0,1.5,1550.0,0.4574839302112029,12.56374708980199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1505 Dorset Way, Loveland, OH 45140",4.0,3.0,1850.0,0.19201101928374656,12.524526376648708,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,CAMERON CROSSING SEC 4,"1,850","1,850",2,,CAMERON CROSSING SECTION 4 LOT 208,Frame Garage,400,Frame,1,"8,398",208,,GOSHEN TWP,0.1928,SINGLE FAMILY,2022,,Full,,8,Conventional,856,,,,,,,1,Central,Public,Public,,,,,,,
"266 Apache Trl, Loveland, OH 45140",3.0,1.5,1508.0,1.3529843893480258,12.506177237980511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apache Trl, Loveland, OH 45140",4.0,2.5,1973.0,0.13999081726354454,12.506177237980511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"266 Apache Trl, Loveland, OH 45140",3.0,1.5,1420.0,0.3399908172635445,12.506177237980511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2464 Aster Rd, Loveland, OH 45140",3.0,2.5,2004.0,0.046786042240587696,12.56374708980199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10746 Weather Stone Ct, Loveland, OH 45140",4.0,4.0,3476.0,0.4589990817263544,13.345506928718539,3,,,1,,Average,Concrete Block,Brick,Brick,,COBBLESTONE SUB,"4,660","5,636",2,2,WEATHERSTONE CT 110.70 X 185.90 IRR LOT 27 COBBLESTONE SUB,Attached Brick Garage,576,Attached Brick,1,"19,994",27,,SYMMES TOWNSHIP,0.459,SINGLE FAMILY,2022,,Partial,Gas,10,Conventional,"1,892",,185.9,110.7,RESID-SINGLE FAMILY,Connected,"1,584",2,Central,,,,,2,A,Fiberglass,Fiberglass,
"1200 W Loveland Ave, Loveland, OH 45140",3.0,2.0,1057.0,1.019,12.64400494377584,1,,,,,Good,Concrete Block,Concrete Block,Concrete Block,,PAUL MANOR BL A,"1,057","2,114",1,1,LOVELAND AV 0.963 AC R1-T5-S18,Detached Frame Garage,480,Detached Frame,1,"44,388",,,LOVELAND CITY,1.019,SINGLE FAMILY,2022,,Full,Gas,6,Conventional,"1,057",,,,RESID-SINGLE FAMILY,Connected,"1,057",,Central,,,,,,,,Metal,
"130 Shoemaker Dr, Loveland, OH 45140",4.0,4.0,1959.0,0.172,12.983101310070822,2,,,1,,Average,,Brick/Frame,Frame/Masonry,,CLAIBORNE SUB,"2,569","3,433",2,2,SHOEMAKER DR-RIVA RIDGE CT 0.172 AC LOT 177 CLAIBORNE SUB PHASE 2 BLOCK D,Attached Brick Garage,462,Attached Brick,1,"7,492",177,,LOVELAND CITY,0.172,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"1,012",D,,,RESID-SINGLE FAMILY,Connected,"1,012",2,Central,,,,,2,,,,
"9469 Country Trl, Loveland, OH 45140",4.0,3.0,2530.0,0.3225,12.886641043883259,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame/Masonry,,Single Family,COLUMBIA FARMS,"2,530","2,656",2,2,COLUMBIA FARMS LOT# 7,Attached Garage,420,Attached,1,"14,047",7,LOVELAND CITY,DEERFIELD TWP,0.32,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,1,,,,Finished,,,,,,
"1118 Deerhaven Ct, Loveland, OH 45140",4.0,3.0,2044.0,0.474,12.80765263256463,2,10,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,DEERHAVEN A04,"2,044","2,044",2,,DEERHAVEN A 4 LOT 50,Frame Garage,546,Frame,1,"20,647",50,,MIAMI TWP,0.474,SINGLE FAMILY,2022,,Full,,8,Colonial,999,,,,,Available,,1,Central,Public,Public,,,,,,,
"9712 Dallasburg Rd, Loveland, OH 45140",3.0,2.0,1680.0,8.859986225895316,12.8771020208365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1324 Bedfordshire Dr, Loveland, OH 45140",4.0,4.0,2948.0,0.4599862258953168,13.284482226880764,2,10,Central,1,Wood Stove,Average,,,Brick,Residential,BELMONT PLACE,"2,948","2,948",2,,BELMONT PLACE LOT 9,Masonry/Brick Garage,506,Masonry/Brick,1,"20,081",9,,MIAMI TWP,0.461,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,310",,,,,Available,,1,Central,Public,Public,,,,,,,
"6116 Misty Creek Dr, Loveland, OH 45140",3.0,2.0,1840.0,0.261,12.793859310432293,2,8,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,TIMBER RIDGE SEC 5,"1,840","1,840",1,,TIMBER RIDGE SECTION 5 LOT 172,Frame Garage,460,Frame,1,"11,382",172,,GOSHEN TWP,0.2613,SINGLE FAMILY,2022,,Full,,5,Ranch,"1,840",,,,,,,,Central,Public,Public,,,,,,,
"6273 Deerhaven Ln, Loveland, OH 45140",4.0,2.5,2443.0,0.20599173553719008,12.936033799212835,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,ASHTON WOODS SEC 2,"2,443","2,923",2,,ASHTON WOODS SECTION 2 BLOCK B LOT 95,Frame Garage,441,Frame,1,"8,973",95,,MIAMI TWP,0.206,SINGLE FAMILY,2022,,Full,,8,Colonial,802,B,,,,,480,1,Central,Public,Public,,,,,,,
"2641 Daisy Dr, Loveland, OH 45140",3.0,2.0,1512.0,0.22999999999999998,12.48559653028049,2,8,Forced Air,,,Average,Concrete,Frame,Aluminum/Vinyl,Single Family,LOVELAND PARK,"1,512","1,912",1,1,LOVELAND PARK #6205-6208,Attached Garage,400,Attached,1,"10,219",6205,LOVELAND CITY,DEERFIELD TWP,0.23,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,,,,,,,,,,,
"266 Apache Trl, Loveland, OH 45140",3.0,2.0,2004.0,3.0,12.506177237980511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10464 Brentmoor Dr, Loveland, OH 45140",4.0,5.0,3564.0,1.58099173553719,13.4052841327544,3,,,1,,Average,,,Frame/Masonry,,RIVER OAKS SUB,"4,564","6,038",2,,BRENTMOOR DR 120 X 556.44 IR LOT 53 RIVER OAKS SUB,Attached Brick Garage,638,Attached Brick,1,"68,868",53,,SYMMES TOWNSHIP,1.581,SINGLE FAMILY,2022,,Full,Electric,11,Conventional,"1,836",,556.44,120,RESID-SINGLE FAMILY,Connected,"1,836",2,Central,,,,,,B,,,
